subject_id,tic_id,img_id
"99066903","409378195","574fc982-43ce-4516-b83c-1552ff427009"
"99067039","430752710","2e7d998a-235b-4eb5-830f-a82fa4077f15"
"99067482","432613942","97e0c8f8-5672-471e-8caf-a7e6fcd07eee"
"99067511","444953008","c7fe8da9-1104-4910-a24f-535ec95f923f"
"99067859","455429529","622e9805-f772-45ba-b1ae-22bf55204324"
"99068440","443340688","3f769940-51a4-4fc7-a3ef-ee7b7a534ed8"
"99068564","414475823","cadb6f8d-aa56-46d2-b7c7-61e225e09c7d"
"99068589","452829109","82b2cf98-d59e-48d0-b635-fe26a7d5fc66"
"99068596","444143311","6eb1ede2-6210-481c-ab0b-6d7a4f3dfffa"
"99068737","414579186","071abcdf-19af-4320-b069-9f2fff405251"
"99068803","410581936","d75db7d7-f781-4794-8d29-1c82619f025f"
"99069352","459959916","e187041a-0ca4-470d-872e-3727745e683a"
"99069884","466187603","c78e9a90-6839-45d2-bd13-7519b4c526db"
"99070528","438291674","7badb4e8-e187-4aef-8124-6c5855fe8ff2"
"99070535","409048844","47ee9538-06ed-4490-8919-5e16df87b996"
"99070563","456516418","17872752-e7c4-4d0b-978e-18374037089f"
"99071510","414969157","45eba43f-8a5e-4843-aa95-719a4a45ade7"
"99072567","441613360","45c678c2-c1d5-4177-bfc9-834400687960"
"99073270","408628360","e82c94c6-03ef-48d9-98e5-35751c7c4e69"
"99073471","402655745","35a52e4d-5028-4992-971e-37dbdabc20bb"
"99073884","431914895","0d45e40a-b790-4f00-87f5-48b8c5760602"
"99419607","321978218","be6bab7e-5d9b-4d49-a83f-ea184a7085bd"
"99420107","257776944","51258a9f-3938-4a42-9b19-8d3d2bb4bc58"
"99420211","99479121","a4ca901e-f407-4c05-9c4d-ff0e4e0a7436"
"99420245","98989876","d3a82177-f3fb-4d2d-a8d9-362222c91960"
"99420636","167800999","6d6d8041-f2be-471f-9e17-c6ffbda1cb7d"
"99420841","372762911","1a19c1ca-7993-4506-8db3-b6b0868e5855"
"99421399","55650498","6a017946-d682-428b-83d2-e0a979d4f6f1"
"99421506","4783276","3ee8fc15-9df1-4ede-9eb6-457ac0bfce7d"
"99422005","284482112","eb072620-123e-4c72-97d3-99359a772f1a"
"99422085","139650665","41c5b2e0-5bb9-445e-b60d-690370136dca"
"99422432","98757361","050763c4-81f9-486c-9dd6-039597095c08"
"99422484","20938739","f2b9c75b-e58d-4af0-9faf-57d916ba6a23"
"99422541","7393866","df417431-90ff-4cba-8578-b1b3348e2118"
"99422544","370440624","6075cd7c-f369-40b5-885b-8e348cfd6fcf"
"99422743","234879731","3ca844f0-08a4-4a65-b703-b00aec4fc23a"
"99422808","111268331","dc5f76e1-5a4f-486d-82d6-8b54f0e957c5"
"99423071","146601322","5784d9f4-dffb-4df1-819d-5045622edcfc"
"99423289","257687273","d40c71d2-33ad-4b5b-a1ee-c2406498d432"
"99423553","165052445","56336124-4dce-46c8-89b4-e5ec6c6934de"
